Ticker,Short Name,NI / Profit T12M,SE End Pd LF,EBITDA T12M,EBIT T12M,Total Liab LF,FCF T12M,Tot Assets LF,Market Cap,P/E,Total Return YTD,Revenue T12M,EPS T12M,Tot Debt LF,Fitch Long Term Issuer Default Rating,Curr Liab LF,Curr Assets LF
KLAC US Equity,KLA CORP,4557987072.00,5465731072.00,5991002000.00,5351475000.00,11335587000.00,4382335000.00,16720228000.00,176239057320.05,37.94,10.80,12744612000.00,34.56,6109478000.00,A,3982472000.00,11263805000.00
PM US Equity,PHILIP MORRIS IN,11348000000.00,8028000256.00,17201000000.00,14892000000.00,77213000000.00,10664000000.00,69185000000.00,264604394838.42,22.54,5.97,40648000000.00,7.27,49568000000.00,A,25427000000.00,24363000000.00
BIDU US Equity,BAIDU INC-SP ADR,5589000064.00,289726005248.00,2354000000.00,-5823000000.00,159431000000.00,-15086000000.00,449157000000.00,41738221414.40,18.37,-8.89,129079000000.00,14.84,76351729839.16,A,86328000000.00,151970000000.00
000333 CH Equity,MIDEA GROUP CO-A,44721505792.00,234107699200.00,46362500000.00,44867893000.00,359205303000.00,25695808000.00,593313003000.00,572392748958.75,12.87,-3.51,453450555000.00,5.86,88569805000.00,A,329971554000.00,367591398000.00
601766 CH Equity,CRRC CORP LTD-A,15106809856.00,212335919104.00,28047564111.11,19440176000.00,357479227000.00,-2446330000.00,569815152000.00,173870688203.33,11.81,-8.21,277739038000.00,0.53,86495024000.00,A,332020268000.00,393975284000.00
ADI US Equity,ANALOG DEVICES,2706852992.00,33787258880.00,5479293000.00,3438210000.00,14203931000.00,4560021000.00,47991190000.00,154179754822.17,36.82,16.83,11756796000.00,5.50,8682221000.00,A,4330623000.00,7602526000.00
FEMSAUBD MM Equity,FOMENTO ECON-UBD,19456240896.00,329351987200.00,114552295000.00,70111295000.00,466525490000.00,31580640000.00,795877490000.00,617788145021.40,38.00,9.30,840953664000.00,5.56,257557718000.00,A,210013788000.00,283116216000.00
FSF NZ Equity,FONTERRA-SHAR FD,1079000000.00,8337999872.00,2186000000.00,1551000000.00,9188000000.00,1113000000.00,17526000000.00,13435131906.86,13.06,1.82,24111000000.00,0.67,3168000000.00,A,6359000000.00,10157000000.00
RIO LN Equity,RIO TINTO PLC,9966000128.00,67023998976.00,21513000000.00,14936000000.00,61078000000.00,4497000000.00,128102000000.00,112159285763.05,14.72,15.76,57638000000.00,6.14,19085857142.86,A,14930000000.00,21569000000.00
KOFUBL MM Equity,COCA-COLA FEMSA,23850311680.00,154028638208.00,55941045000.00,42103050000.00,160510783000.00,6097539000.00,314539424000.00,391658080304.06,16.42,8.98,291745654000.00,11.35,78888600273.49,A,66756679000.00,74570084000.00
RIO AU Equity,RIO TINTO LTD,9966000128.00,67023998976.00,21513000000.00,14936000000.00,61078000000.00,4497000000.00,128102000000.00,213267368506.14,17.44,6.29,57638000000.00,6.14,23517000000.00,A,14930000000.00,21569000000.00
AC* MM Equity,ARCA CONTINENTAL,19580456192.00,163202498560.00,49569875000.00,39361887000.00,131280478000.00,15147735000.00,294482969000.00,351203100135.41,17.94,6.12,250258459000.00,11.53,58013655166.29,A,61839516000.00,66331468000.00
