Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
2600 HK Equity;ALUMINUM CORP OF CHINA LTD-H;BBB+;CH;Materials
BOMH IN Equity;BANK OF MAHARASHTRA;BBB-;IN;Financials
AC* MM Equity;ARCA CONTINENTAL SAB DE CV;A;MX;Consumer Staples
5876 TT Equity;THE SHANGHAI COMMERCIAL & SA;A-;TA;Financials
CRH US Equity;CRH PLC;BBB+;IR;Materials
H US Equity;HYATT HOTELS CORP - CL A;BBB-;US;Consumer Discretionary
2885 TT Equity;YUANTA FINANCIAL HOLDING CO;BBB+;TA;Financials
BMED IM Equity;BANCA MEDIOLANUM SPA;BBB+;IT;Financials
2887 TT Equity;TS FINANCIAL HOLDING CO LTD;BBB;TA;Financials
6881 HK Equity;CHINA GALAXY SECURITIES CO-H;BBB+;CH;Financials
SBRA US Equity;SABRA HEALTH CARE REIT INC;BBB-;US;Real Estate
2889 TT Equity;IBF FINANCIAL HOLDINGS CO LT;BBB;TA;Financials
PGAS IJ Equity;PERUSAHAAN GAS NEGARA PERSER;BBB-;ID;Utilities
2890 TT Equity;SINOPAC FINANCIAL HOLDINGS;BBB+;TA;Financials
WCN CN Equity;WASTE CONNECTIONS INC;A-;CA;Industrials
PNB IN Equity;PUNJAB NATIONAL BANK;BBB-;IN;Financials
STC AB Equity;SAUDI TELECOM CO;A+;SR;Communication Services
RNG US Equity;RINGCENTRAL INC-CLASS A;BB+;US;Information Technology
WYNN US Equity;WYNN RESORTS LTD;BB-;US;Consumer Discretionary
ZENITHBA NL Equity;ZENITH BANK PLC;B;NG;Financials
EAND UH Equity;EMIRATES TELECOM GROUP CO;AA-;UA;Communication Services
GCC* MM Equity;GCC SAB DE CV;BBB;MX;Materials
MMLP US Equity;MARTIN MIDSTREAM PARTNERS LP;B-;US;Energy
FIDELITY NL Equity;FIDELITY BANK/NIGERIA;B;NG;Financials
BANC US Equity;BANC OF CALIFORNIA INC;BBB-;US;Financials
IRFC IN Equity;INDIAN RAILWAY FINANCE CORP;BBB-;IN;Financials
FLUT US Equity;FLUTTER ENTERTAINMENT PLC-DI;BBB-;US;Consumer Discretionary
PRAA US Equity;PRA GROUP INC;BB;US;Financials
ARAMCO AB Equity;SAUDI ARABIAN OIL CO;A+;SR;Energy
GFH BI Equity;GFH FINANCIAL GROUP BSC;B;BJ;Financials
2883 HK Equity;CHINA OILFIELD SERVICES-H;A-;CH;Energy
8316 JP Equity;SUMITOMO MITSUI FINANCIAL GR;A-;JN;Financials
2628 HK Equity;CHINA LIFE INSURANCE CO-H;A;CH;Financials
OCDO LN Equity;OCADO GROUP PLC;B-;GB;Consumer Staples
EQIX US Equity;EQUINIX INC;BBB+;US;Real Estate
601377 CH Equity;INDUSTRIAL SECURITIES CO-A;BBB;CH;Financials
CENCOSUD CI Equity;CENCOSUD SA;BBB;CL;Consumer Staples
8411 JP Equity;MIZUHO FINANCIAL GROUP INC;A-;JN;Financials
601166 CH Equity;INDUSTRIAL BANK CO LTD -A;BBB;CH;Financials
ADMF IJ Equity;ADIRA DINAMIKA MULTI FINANCE;BBB;ID;Financials
ABQK QD Equity;AL AHLI BANK;A;QA;Financials
DHBK QD Equity;DOHA BANK QPSC;A;QA;Financials
CBQK QD Equity;COMMERCIAL BANK PSQC;A;QA;Financials
QIBK QD Equity;QATAR ISLAMIC BANK;A;QA;Financials
QIIK QD Equity;QATAR INTERNATIONAL ISLAMIC;A;QA;Financials
QNBK QD Equity;QATAR NATIONAL BANK;A+;QA;Financials
6269 JP Equity;MODEC INC;BBB;JN;Energy
HOLN SW Equity;HOLCIM LTD;BBB+;SZ;Materials
